"region","cases"
"Hubei, China",27100
"Guangdong, China",1131
"Zhejiang, China",1075
"Henan, China",1033
"Hunan, China",838
"Anhui, China",779
"Jiangxi, China",740
"Jiangsu, China",468
"Chongqing, China",450
"Shandong, China",444
"Sichuan, China",386
"Beijing, China",326
"Heilongjiang, China",307
"Shanghai, China",293
"Fujian, China",250
"Shaanxi, China",208
"Hebei, China",206
"Guangxi, China",195
"Yunnan, China",141
"Hainan, China",131
"Shanxi, China",115
"Liaoning, China",107
"Guizhou, China",99
"Tianjin, China",90
"Gansu, China",79
"Jilin, China",78
"Neimenggu, China",54
"Xinjiang, China",45
"Ningxia, China",45
"Qinghai, China",18
"Xizang, China",1
